row_id,id,State_Code,State_Name,State_ab,County,City,Place,Type,Primary,Zip_Code,Area_Code,ALand,AWater,Lat,Lon
104,102936,1,Alabama,AL,"Autauga County",Ramer,Autaugaville,Track,Track,36069,334,322817898,1399522,32.0637351,-86.0722109
105,102946,1,Alabama,AL,"Autauga County",Decatur,Autaugaville,Track,Track,35601,256,5750081,112655,34.6096797,-87.0198689
106,102956,1,Alabama,AL,"Autauga County",Decatur,Autaugaville,Track,Track,35603,256,4144053,2397,34.5540918,-87.010172
107,102966,1,Alabama,AL,"Autauga County",Eva,Autaugaville,Track,Track,35621,256,247422337,923083,34.3558416,-86.7007545
108,102976,1,Alabama,AL,"Autauga County",Aliceville,Autaugaville,Track,Track,35442,205,936899340,19721381,33.143676,-88.1111873
109,102986,1,Alabama,AL,"Autauga County",Woodland,Autaugaville,Track,Track,36280,256,259326168,155664,33.3674567,-85.3379448
110,102996,1,Alabama,AL,"Autauga County","Phenix City",Autaugaville,Track,Track,36869,334,20360276,103449,32.4323882,-85.0346206
111,1011000,1,Alabama,AL,"Mobile County",Chickasaw,"Chickasaw city",City,place,36611,251,10894952,909156,30.77145,-88.079697
112,1011010,1,Alabama,AL,"Barbour County",Louisville,"Clio city",City,place,36048,334,26070325,23254,31.708516,-85.611039
113,1011020,1,Alabama,AL,"Shelby County",Columbiana,"Columbiana city",City,place,35051,205,44835274,261034,33.191452,-86.615618
114,1011030,1,Alabama,AL,"Mobile County",Satsuma,"Creola city",City,place,36572,251,36878729,2374530,30.874343,-88.009442
115,1011040,1,Alabama,AL,"Mobile County","Dauphin Island","Dauphin Island",Town,place,36528,251,16204185,413605152,30.250913,-88.171268
116,1011050,1,Alabama,AL,"Cullman County",Cullman,"Dodge City",Town,place,35057,256,8913021,26837,34.045414,-86.88267
117,1011060,1,Alabama,AL,"Escambia County","East Brewton","East Brewton city",City,place,36426,251,8826252,91015,31.09144,-87.055345
118,1011070,1,Alabama,AL,"Elmore County",Coosada,Elmore,Town,place,36020,334,10222339,176500,32.544337,-86.336446
119,1011080,1,Alabama,AL,"Morgan County",Eva,Eva,Town,place,35621,256,10544874,78981,34.326504,-86.765318
120,1011090,1,Alabama,AL,"Talladega County",Sylacauga,Fayetteville,CDP,place,35151,256,45178321,6034534,33.168097,-86.442774
121,1011100,1,Alabama,AL,"DeKalb County",Rainsville,"Fort Payne city",City,place,35986,256,145527967,924063,34.457329,-85.689447
122,1011110,1,Alabama,AL,"Etowah County",Gadsden,"Gadsden city",City,place,35901,256,96637272,3060329,34.009563,-86.015643
123,1011120,1,Alabama,AL,"Butler County",Georgiana,Georgiana,Town,place,36033,334,16154540,0,31.639134,-86.746762
124,1011130,1,Alabama,AL,"Coosa County",Rockford,Goodwater,Town,place,35136,256,16819854,75870,33.060835,-86.052333
125,1011140,1,Alabama,AL,"Hale County",Greensboro,"Greensboro city",City,place,36744,334,6156793,24951,32.700968,-87.5937
126,1011150,1,Alabama,AL,"Marion County",Guin,Gu-Win,Town,place,35563,205,5028328,0,33.944319,-87.870368
127,1011160,1,Alabama,AL,"Geneva County",Hartford,"Hartford city",City,place,36344,334,16152099,37439,31.105348,-85.691225
128,1011170,1,Alabama,AL,"Jefferson County",Helena,"Helena city",City,place,35080,205,53950336,833954,33.285635,-86.874488
129,1011180,1,Alabama,AL,"Etowah County","Hokes Bluff","Hokes Bluff city",City,place,35903,256,30893300,423908,33.989682,-85.862873
130,1011190,1,Alabama,AL,"Covington County",Opp,"Horn Hill",Town,place,36467,334,6618368,135412,31.238158,-86.325104
131,1011200,1,Alabama,AL,"Etowah County",Attalla,Ivalee,CDP,place,35954,256,19297932,0,34.0372,-86.147175
132,1011210,1,Alabama,AL,"Lamar County",Millport,Kennedy,Town,place,35576,205,7948840,0,33.580891,-87.986179
133,1011220,1,Alabama,AL,"Jackson County",Section,Langston,Town,place,35771,256,12755795,8595968,34.545063,-86.09335
134,1011230,1,Alabama,AL,"Covington County",Andalusia,Libertyville,Town,place,36420,334,1347464,7932,31.24398,-86.46015
135,1011240,1,Alabama,AL,"Covington County",Lockhart,Lockhart,Town,place,36455,334,2818242,103127,31.013011,-86.350273
136,1011250,1,Alabama,AL,"Washington County",Mcintosh,McIntosh,Town,place,36553,251,2579767,0,31.264957,-88.028369
137,1011260,1,Alabama,AL,"Chilton County",Maplesville,Maplesville,Town,place,36750,334,8463711,104846,32.788282,-86.876651
138,1011270,1,Alabama,AL,"Jefferson County",Fairfield,"Midfield city",City,place,35064,205,6869817,0,33.455197,-86.922633
139,1011280,1,Alabama,AL,"Mobile County",Mobile,"Mobile city",City,place,36606,251,361044263,105325210,30.668426,-88.100226
140,1011290,1,Alabama,AL,"Lawrence County",Moulton,"Moulton city",City,place,35650,256,15525177,37270,34.488302,-87.282707
141,1011300,1,Alabama,AL,"Colbert County","Muscle Shoals","Muscle Shoals city",City,place,35661,256,42811752,53102,34.743692,-87.633774
142,1011310,1,Alabama,AL,"Hale County",Newbern,Newbern,Town,place,36765,334,3010370,6872,32.591672,-87.535614
143,1011320,1,Alabama,AL,"Tuscaloosa County",Northport,"Northport city",City,place,35476,205,43353277,1016012,33.257975,-87.59647
144,1011330,1,Alabama,AL,"Lee County",Opelika,"Opelika city",City,place,36801,334,154497144,2388300,32.660739,-85.37889
145,1011340,1,Alabama,AL,"Sumter County",Panola,Panola,CDP,place,35477,205,1858530,3231,32.946819,-88.262264
146,1011350,1,Alabama,AL,"Lee County",Ozark,"Phenix City city",City,place,36867,334,72497364,325619,32.461669,-85.025021
147,1011360,1,Alabama,AL,"Autauga County",Deatsville,"Pine Level",CDP,place,36022,334,64250372,132799,32.579539,-86.454318
148,1011370,1,Alabama,AL,"Elmore County",Prattville,"Prattville city",City,place,36067,334,86435482,2322045,32.461908,-86.457385
149,1011380,1,Alabama,AL,"Franklin County","Red Bay","Red Bay city",City,place,35582,256,25224456,268155,34.436097,-88.136515
150,1011390,1,Alabama,AL,"Covington County",Andalusia,"River Falls",Town,place,36421,334,17703764,675339,31.352397,-86.544609
151,1011400,1,Alabama,AL,"Blount County",Cleveland,Rosa,Town,place,35049,205,9758714,14775,33.992756,-86.500325
152,1011410,1,Alabama,AL,"Mobile County",Satsuma,"Saraland city",City,place,36572,251,73566058,497598,30.854581,-88.109929
153,1011420,1,Alabama,AL,"Shelby County",Shelby,Shelby,CDP,place,35143,205,48586750,657199,33.106882,-86.585403
154,1011430,1,Alabama,AL,"Lee County","Smiths Station","Smiths Station city",City,place,36877,334,17386667,69041,32.534662,-85.111341
155,1011440,1,Alabama,AL,"Franklin County","Phil Campbell","Spruce Pine",CDP,place,35581,256,2403095,2825,34.39287,-87.729597
156,1011450,1,Alabama,AL,"Walker County",Sumiton,"Sumiton city",City,place,35148,205,13529257,19710,33.749269,-87.046903
157,1011460,1,Alabama,AL,"Tallapoosa County",Tallassee,"Tallassee city",City,place,36078,334,27817447,1526561,32.532665,-85.891993
158,1011470,1,Alabama,AL,"Mobile County",Mobile,"Tillmans Corner",CDP,place,36619,251,33596548,99955,30.581533,-88.21278
159,1011480,1,Alabama,AL,"Tuscaloosa County",Tuscaloosa,"Tuscaloosa city",City,place,35406,205,159585773,26058465,33.234404,-87.5283
160,1011490,1,Alabama,AL,"Chambers County",Valley,"Valley city",City,place,36854,334,28436022,0,32.828953,-85.169386
161,1011500,1,Alabama,AL,"St. Clair County",Vincent,Vincent,Town,place,35178,205,53311740,978770,33.383145,-86.402544
162,1011510,1,Alabama,AL,"Chambers County","Camp Hill",Waverly,Town,place,36850,256,7054656,48649,32.730078,-85.570999
163,1011520,1,Alabama,AL,"Cullman County",Cullman,"West Point",Town,place,35057,256,8833073,70375,34.23873,-86.964075
164,1011530,1,Alabama,AL,"Randolph County",Woodland,Woodland,Town,place,36280,256,4036422,0,33.375627,-85.397439
165,1021006,1,Alabama,AL,"Autauga County",Moody,Autaugaville,Track,Track,35004,205,110354665,589709,33.5467968,-86.4306179
166,1021016,1,Alabama,AL,"Autauga County",Odenville,Autaugaville,Track,Track,35120,205,145753222,539155,33.7171728,-86.3824822
167,1021026,1,Alabama,AL,"Autauga County",Hoover,Autaugaville,Track,Track,35242,205,10526469,723081,33.4073199,-86.7204009
168,1021036,1,Alabama,AL,"Autauga County",Birmingham,Autaugaville,Track,Track,35242,205,7151912,58061,33.4007267,-86.6925733
169,1021046,1,Alabama,AL,"Autauga County",Chelsea,Autaugaville,Track,Track,35043,205,16899453,292332,33.3567902,-86.6754096
170,1021056,1,Alabama,AL,"Autauga County",Maylene,Autaugaville,Track,Track,35114,205,8011090,34567,33.2332362,-86.8499076
171,1021066,1,Alabama,AL,"Autauga County",Panola,Autaugaville,Track,Track,35477,205,536090556,10788078,32.863881,-88.2623312
172,1021076,1,Alabama,AL,"Autauga County",Talladega,Autaugaville,Track,Track,35160,256,10137995,8419,33.4548311,-86.0680822
173,1021086,1,Alabama,AL,"Autauga County",Sylacauga,Autaugaville,Track,Track,35150,256,83495162,1251432,33.1485144,-86.2131565
174,1021096,1,Alabama,AL,"Autauga County",Dadeville,Autaugaville,Track,Track,36853,256,311017327,1997552,32.88789,-85.6951867
175,1021106,1,Alabama,AL,"Autauga County",Northport,Autaugaville,Track,Track,35475,205,32625607,5489082,33.3231423,-87.5661153
176,1021116,1,Alabama,AL,"Autauga County",Holt,Autaugaville,Track,Track,35404,205,9071936,478045,33.2435354,-87.4825444
177,1021126,1,Alabama,AL,"Autauga County",Tuscaloosa,Autaugaville,Track,Track,35401,205,1160279,0,33.2031136,-87.5527647
178,1021136,1,Alabama,AL,"Autauga County",Tuscaloosa,Autaugaville,Track,Track,35404,205,12325885,108719,33.1807268,-87.4937929
179,1021146,1,Alabama,AL,"Autauga County",Holt,Autaugaville,Track,Track,35404,205,6641779,189874,33.2184585,-87.495102
180,1021156,1,Alabama,AL,"Autauga County",Nauvoo,Autaugaville,Track,Track,35578,205,153528165,704066,33.9445989,-87.4646876
181,1021166,1,Alabama,AL,"Autauga County",Millry,Autaugaville,Track,Track,36558,251,398488735,659562,31.6256633,-88.3415656
182,1021176,1,Alabama,AL,"Autauga County",Arley,Autaugaville,Track,Track,35541,205,145680961,17493922,34.0964418,-87.2271905
183,1021186,1,Alabama,AL,"Autauga County",Prattville,Autaugaville,Track,Track,36067,334,5349273,9054,32.4740243,-86.4597033
184,1021196,1,Alabama,AL,"Autauga County",Elmore,Autaugaville,Track,Track,36025,334,8020338,60048,32.4473511,-86.4768097
185,1021206,1,Alabama,AL,"Autauga County",Marbury,Autaugaville,Track,Track,36051,205,292756927,516153,32.6385222,-86.5148731
186,1021216,1,Alabama,AL,"Autauga County",Perdido,Autaugaville,Track,Track,36562,251,971507312,37571032,31.1104762,-87.7868713
187,1021226,1,Alabama,AL,"Autauga County","Bay Minette",Autaugaville,Track,Track,36507,251,17478851,155316,30.8969612,-87.7737368
188,1021236,1,Alabama,AL,"Autauga County",Daphne,Autaugaville,Track,Track,36526,251,144260774,676568,30.6478335,-87.8437739
189,1021246,1,Alabama,AL,"Autauga County",Loxley,Autaugaville,Track,Track,36551,251,55584945,274609,30.6114771,-87.7725676
190,1021256,1,Alabama,AL,"Autauga County",Robertsdale,Autaugaville,Track,Track,36567,251,39371387,185367,30.5641292,-87.6870074
191,1021266,1,Alabama,AL,"Autauga County",Fairhope,Autaugaville,Track,Track,36532,251,12365598,1268983,30.5408065,-87.891618
192,1021276,1,Alabama,AL,"Autauga County",Foley,Autaugaville,Track,Track,36535,251,164751029,12027152,30.3802759,-87.7703177
193,1021286,1,Alabama,AL,"Autauga County","Gulf Shores",Autaugaville,Track,Track,36547,251,34146324,8917573,30.2696285,-87.637277
194,1021296,1,Alabama,AL,"Autauga County",Foley,Autaugaville,Track,Track,36535,251,51913165,450591,30.3798842,-87.6650569
195,1021306,1,Alabama,AL,"Autauga County",Pensacola,Autaugaville,Track,Track,32506,850,81473914,35304223,30.4111645,-87.4511185
196,1021316,1,Alabama,AL,"Autauga County",Clayton,Autaugaville,Track,Track,36016,334,343304919,397957,31.6794432,-85.5577196
197,1021326,1,Alabama,AL,"Autauga County",Eufaula,Autaugaville,Track,Track,36027,334,14630161,380622,31.92041,-85.1757409
198,1021336,1,Alabama,AL,"Autauga County",Brent,Autaugaville,Track,Track,35034,205,691793540,3983687,32.9533249,-87.0043466
199,1021346,1,Alabama,AL,"Autauga County",Oneonta,Autaugaville,Track,Track,35121,205,215168178,7529147,33.8723927,-86.4590322
200,1021356,1,Alabama,AL,"Autauga County",Cleveland,Autaugaville,Track,Track,35049,205,117119604,607001,33.9974352,-86.544238
201,1021366,1,Alabama,AL,"Autauga County",Blountsville,Autaugaville,Track,Track,35031,205,248719996,1503784,34.0336235,-86.6373178
202,1021376,1,Alabama,AL,"Autauga County",Hayden,Autaugaville,Track,Track,35079,205,181928636,1231658,33.9036637,-86.7813122
203,1021386,1,Alabama,AL,"Autauga County","Union Springs",Autaugaville,Track,Track,36089,334,786335890,3475241,32.0821273,-85.8274935
204,1021396,1,Alabama,AL,"Autauga County",Greenville,Autaugaville,Track,Track,36037,334,32192358,313969,31.7968287,-86.6541421
205,1021406,1,Alabama,AL,"Autauga County",Mckenzie,Autaugaville,Track,Track,36456,334,264349344,236297,31.575083,-86.6086952
206,1021416,1,Alabama,AL,"Autauga County",Anniston,Autaugaville,Track,Track,36201,256,6794602,649,33.6421021,-85.8410233
207,1021426,1,Alabama,AL,"Autauga County",Anniston,Autaugaville,Track,Track,36207,256,16676645,14186,33.6345617,-85.7901308
208,1021436,1,Alabama,AL,"Autauga County",Oxford,Autaugaville,Track,Track,36203,256,23519631,55597,33.6111325,-85.8764727
209,1021446,1,Alabama,AL,"Autauga County",Anniston,Autaugaville,Track,Track,36201,256,54153086,275439,33.6132515,-85.9253597
210,1021456,1,Alabama,AL,"Autauga County",Jacksonville,Autaugaville,Track,Track,36265,256,41129558,487657,33.7661796,-85.7864612
211,1021466,1,Alabama,AL,"Autauga County",Jacksonville,Autaugaville,Track,Track,36265,256,13690915,23910,33.8369688,-85.7723498
212,1021476,1,Alabama,AL,"Autauga County",Piedmont,Autaugaville,Track,Track,36272,256,87901995,514251,33.8952637,-85.5983598
213,1021486,1,Alabama,AL,"Autauga County",Alexandria,Autaugaville,Track,Track,36250,256,97226556,796761,33.7837754,-85.9002899
214,1021496,1,Alabama,AL,"Autauga County",Alexandria,Autaugaville,Track,Track,36250,256,89660986,294151,33.7188196,-85.9523544
215,1021506,1,Alabama,AL,"Autauga County",Lafayette,Autaugaville,Track,Track,36862,334,675980103,2617356,32.8660782,-85.4616055
216,1021516,1,Alabama,AL,"Autauga County",Lanett,Autaugaville,Track,Track,36863,334,132910142,178276,32.7766468,-85.2734917
217,1021526,1,Alabama,AL,"Autauga County",Valley,Autaugaville,Track,Track,36854,334,9688028,0,32.8362807,-85.1725763
218,1021536,1,Alabama,AL,"Autauga County","Sand Rock",Autaugaville,Track,Track,35983,256,233670765,33296082,34.1991534,-85.7578347
219,1021546,1,Alabama,AL,"Autauga County","Spring Garden",Autaugaville,Track,Track,36275,256,373046666,29730687,34.0861716,-85.5068892
220,1021556,1,Alabama,AL,"Autauga County",Clanton,Autaugaville,Track,Track,35045,205,64410623,251385,32.8695805,-86.6588881
221,1021566,1,Alabama,AL,"Autauga County",Jemison,Autaugaville,Track,Track,35085,205,244387804,1211895,32.9910458,-86.8010803
222,1021576,1,Alabama,AL,"Autauga County",Verbena,Autaugaville,Track,Track,36091,205,256404827,4346403,32.7592425,-86.5260002
223,1021586,1,Alabama,AL,"Autauga County",Butler,Autaugaville,Track,Track,36904,205,752526706,7297622,32.0656633,-88.2128479
224,1021596,1,Alabama,AL,"Autauga County",Thomasville,Autaugaville,Track,Track,36784,334,249006278,71854,31.7929013,-87.6425154
225,1021606,1,Alabama,AL,"Autauga County","Grove Hill",Autaugaville,Track,Track,36451,251,832734330,4857552,31.6170174,-87.6979772
226,1021616,1,Alabama,AL,"Autauga County",Jackson,Autaugaville,Track,Track,36545,251,107872399,2504038,31.5011616,-87.8723338
227,1021626,1,Alabama,AL,"Autauga County",Ashland,Autaugaville,Track,Track,36251,256,383065566,777286,33.1785156,-85.7815679
228,1021636,1,Alabama,AL,"Autauga County",Heflin,Autaugaville,Track,Track,36264,256,243823026,915596,33.6989979,-85.5727972
229,1021646,1,Alabama,AL,"Autauga County",Jack,Autaugaville,Track,Track,36346,334,208213147,177901,31.5375844,-85.8984006
230,1021656,1,Alabama,AL,"Autauga County",Kinston,Autaugaville,Track,Track,36453,334,128071075,606802,31.2721909,-86.1506243
231,1021666,1,Alabama,AL,"Autauga County",Enterprise,Autaugaville,Track,Track,36330,334,40693675,151495,31.3627415,-85.8358304
232,1021676,1,Alabama,AL,"Autauga County",Sheffield,Autaugaville,Track,Track,35660,256,4408833,784132,34.7708294,-87.6799629
233,1021686,1,Alabama,AL,"Autauga County",Tuscumbia,Autaugaville,Track,Track,35674,256,5259140,1044191,34.7403319,-87.7337767
234,1021696,1,Alabama,AL,"Autauga County","Muscle Shoals",Autaugaville,Track,Track,35662,256,112842678,7290274,34.7242107,-87.6264192
235,1021706,1,Alabama,AL,"Autauga County",Leighton,Autaugaville,Track,Track,35646,256,118959123,20802427,34.774634,-87.5053473
236,1021716,1,Alabama,AL,"Autauga County",Tuscumbia,Autaugaville,Track,Track,35674,256,259170483,7552968,34.6686652,-87.822804
237,1021726,1,Alabama,AL,"Autauga County",Castleberry,Autaugaville,Track,Track,36432,251,480256655,3016837,31.3411108,-87.0387457
238,1021736,1,Alabama,AL,"Autauga County",Rockford,Autaugaville,Track,Track,35136,256,251376931,1562316,32.9929287,-86.0738794
239,1021746,1,Alabama,AL,"Autauga County",Andalusia,Autaugaville,Track,Track,36421,334,359424460,10780680,31.4420655,-86.3998913
240,1021756,1,Alabama,AL,"Autauga County",Andalusia,Autaugaville,Track,Track,36421,334,49938350,583714,31.3443958,-86.463852
241,1021766,1,Alabama,AL,"Autauga County",Opp,Autaugaville,Track,Track,36467,334,154675236,2461722,31.3570171,-86.2401037
242,1021776,1,Alabama,AL,"Autauga County",Opp,Autaugaville,Track,Track,36467,334,249816869,1830023,31.1810184,-86.2787253
243,1021786,1,Alabama,AL,"Autauga County",Luverne,Autaugaville,Track,Track,36049,334,374196528,755161,31.7244285,-86.3608435
244,1021796,1,Alabama,AL,"Autauga County",Baileyton,Autaugaville,Track,Track,35019,256,147196339,1148200,34.2616429,-86.5683185
245,1021806,1,Alabama,AL,"Autauga County",Vinemont,Autaugaville,Track,Track,35179,256,89849348,1236612,34.2715006,-86.8345066
246,1021816,1,Alabama,AL,"Autauga County",Cullman,Autaugaville,Track,Track,35055,256,70914526,477574,34.1565069,-86.8940425
247,1021826,1,Alabama,AL,"Autauga County",Cullman,Autaugaville,Track,Track,35055,256,47570866,2530408,34.2012855,-86.8254882
248,1021836,1,Alabama,AL,"Autauga County",Cullman,Autaugaville,Track,Track,35055,256,54256128,667061,34.117682,-86.7963608
249,1021846,1,Alabama,AL,"Autauga County","Garden City",Autaugaville,Track,Track,35070,256,125741724,1106561,33.9980493,-86.7870516
250,1021856,1,Alabama,AL,"Autauga County","Ft Rucker",Autaugaville,Track,Track,36362,334,172610491,2735224,31.4097368,-85.7458071
251,1021866,1,Alabama,AL,"Autauga County",Ozark,Autaugaville,Track,Track,36360,334,61929515,413858,31.4833011,-85.6497139
252,1021876,1,Alabama,AL,"Autauga County",Ozark,Autaugaville,Track,Track,36360,334,36136505,194310,31.4149425,-85.6413488
253,1021886,1,Alabama,AL,"Autauga County",Daleville,Autaugaville,Track,Track,36322,334,23042778,0,31.3021556,-85.7056542
254,1021896,1,Alabama,AL,"Autauga County","Midland City",Autaugaville,Track,Track,36350,334,110987657,53907,31.3374977,-85.4657416
255,1021906,1,Alabama,AL,"Autauga County",Selma,Autaugaville,Track,Track,36703,334,182250003,1051254,32.5526588,-87.0352646
256,1021916,1,Alabama,AL,"Autauga County",Selma,Autaugaville,Track,Track,36701,334,2711300,43964,32.4157042,-87.0280529
257,1021926,1,Alabama,AL,"Autauga County",Orrville,Autaugaville,Track,Track,36767,334,541139544,6763758,32.3256691,-87.2191795
258,1021936,1,Alabama,AL,"Autauga County",Selma,Autaugaville,Track,Track,36701,334,173119838,4647634,32.3277469,-86.8942838
259,1021946,1,Alabama,AL,"Autauga County",Rainsville,Autaugaville,Track,Track,36986,256,108426406,467193,34.5326223,-85.8630796
260,1021956,1,Alabama,AL,"Autauga County",Fyffe,Autaugaville,Track,Track,35971,256,214238075,23139,34.4340842,-85.9687233
261,1021966,1,Alabama,AL,"Autauga County",Crossville,Autaugaville,Track,Track,35962,256,151362799,244096,34.2571822,-86.025488
262,1021976,1,Alabama,AL,"Autauga County","Ft Payne",Autaugaville,Track,Track,35967,256,116782043,31876,34.3660315,-85.6964687
263,1021986,1,Alabama,AL,"Autauga County","Fort Payne",Autaugaville,Track,Track,35967,256,91371430,86324,34.4574952,-85.635214
264,1021996,1,Alabama,AL,"Autauga County",Deatsville,Autaugaville,Track,Track,36022,334,280794165,9491833,32.6948549,-86.2223176
265,1022006,1,Alabama,AL,"Autauga County",Eclectic,Autaugaville,Track,Track,36024,334,165330802,1570890,32.6328834,-86.0345965
